,parent,child,lambda_val,child_size
5771,16525,6532,3.5999999999999996,1
5772,16525,5635,3.5999999999999996,1
5773,16525,6365,3.5999999999999996,1
5774,16503,13709,4.186046511627906,1
5775,16503,15166,4.186046511627906,1
5776,16521,1897,4.029850746268656,1
5777,16541,11233,4.778761061946903,1
5778,16542,9544,4.7368421052631575,1
5779,16542,9816,4.7368421052631575,1
5780,16542,10011,4.7368421052631575,1
5781,16542,10931,4.7368421052631575,1
5782,16542,11420,4.7368421052631575,1
5783,16495,8411,4.153846153846154,1
5784,16513,10556,4.186046511627906,1
5785,16513,11240,4.186046511627906,1
5786,16535,16545,4.655172413793103,554
5787,16535,16546,4.655172413793103,7
5788,16536,1656,4.615384615384615,1
5789,16534,2246,4.576271186440677,1
5790,16534,199,4.576271186440677,1
5791,16534,853,4.576271186440677,1
5792,16534,1220,4.576271186440677,1
5793,16534,3169,4.576271186440677,1
5794,16481,6857,6.923076923076923,1
5795,16506,6842,7.941176470588236,1
5796,16507,5266,4.122137404580153,1
5797,16537,7434,4.251968503937007,1
5798,16538,7850,4.21875,1
5799,16529,8825,8.852459016393443,1
5800,16531,3377,6.0,1
5801,16532,3189,5.934065934065934,1
5802,16543,16547,3.5294117647058822,6923
5803,16543,16548,3.5294117647058822,38
5804,16544,1587,3.506493506493506,1
5805,16540,15436,3.506493506493506,1
5806,16512,11824,3.4838709677419355,1
5807,16525,7076,3.6241610738255035,1
5808,16503,16549,4.21875,197
5809,16503,16550,4.21875,6
5810,16521,1413,4.029850746268656,1
5811,16541,10526,4.778761061946903,1
5812,16495,8175,4.153846153846154,1
5813,16513,10234,4.186046511627906,1
5814,16545,16551,4.695652173913043,542
5815,16545,16552,4.695652173913043,12
5816,16546,1433,4.655172413793103,1
5817,16536,2202,4.615384615384615,1
5818,16536,2278,4.615384615384615,1
5819,16536,2311,4.615384615384615,1
5820,16536,3930,4.615384615384615,1
5821,16536,4077,4.615384615384615,1
5822,16481,6013,7.012987012987012,1
5823,16506,6541,7.941176470588236,1
5824,16507,16553,4.153846153846154,394
5825,16507,16554,4.153846153846154,6
5826,16537,8564,4.285714285714286,1
5827,16538,8178,4.21875,1
5828,16538,8390,4.21875,1
5829,16538,8910,4.21875,1
5830,16538,9067,4.21875,1
5831,16538,9356,4.21875,1
5832,16529,8486,8.852459016393443,1
5833,16531,3019,6.0,1
5834,16532,2536,5.934065934065934,1
5835,16532,2309,5.934065934065934,1
5836,16532,1437,5.934065934065934,1
5837,16532,1988,5.934065934065934,1
5838,16532,3065,5.934065934065934,1
5839,16547,22,3.5294117647058822,1
5840,16548,16555,3.5294117647058822,11
5841,16548,16556,3.5294117647058822,27
5842,16544,1737,3.506493506493506,1
5843,16540,5171,3.506493506493506,1
5844,16512,11969,3.4838709677419355,1
5845,16525,6696,3.6241610738255035,1
5846,16549,14553,4.251968503937007,1
5847,16550,14109,4.21875,1
5848,16550,14655,4.21875,1
5849,16550,14801,4.21875,1
5850,16550,15052,4.21875,1
5851,16550,15355,4.21875,1
5852,16550,15057,4.21875,1
5853,16521,1351,4.029850746268656,1
5854,16541,10342,4.821428571428571,1
5855,16541,10837,4.821428571428571,1
5856,16541,10909,4.821428571428571,1
5857,16541,10926,4.821428571428571,1
5858,16495,9059,4.186046511627906,1
5859,16513,10002,4.186046511627906,1
5860,16551,16557,4.7368421052631575,535
5861,16551,16558,4.7368421052631575,7
5862,16552,307,4.695652173913043,1
5863,16546,1770,4.655172413793103,1
5864,16481,5226,7.105263157894736,1
5865,16481,6698,7.105263157894736,1
5866,16506,16559,8.181818181818182,6
5867,16506,16560,8.181818181818182,19
5868,16553,5452,4.186046511627906,1
5869,16553,6684,4.186046511627906,1
5870,16553,9796,4.186046511627906,1
5871,16554,11520,4.153846153846154,1
5872,16537,8425,4.285714285714286,1
5873,16529,8618,8.852459016393443,1
5874,16531,2457,6.0,1
5875,16547,63,3.5294117647058822,1
5876,16555,5192,3.5294117647058822,1
5877,16555,5490,3.5294117647058822,1
5878,16556,6485,3.5294117647058822,1
5879,16556,7462,3.5294117647058822,1
5880,16544,1749,3.506493506493506,1
5881,16540,16561,3.506493506493506,15
5882,16540,16562,3.506493506493506,22
5883,16512,12384,3.4838709677419355,1
5884,16512,12508,3.4838709677419355,1
5885,16512,12957,3.4838709677419355,1
5886,16512,13064,3.4838709677419355,1
5887,16512,13167,3.4838709677419355,1
5888,16525,6296,3.6241610738255035,1
5889,16549,14075,4.251968503937007,1
5890,16521,576,4.029850746268656,1
5891,16521,950,4.029850746268656,1
5892,16541,9641,4.821428571428571,1
5893,16495,7828,4.186046511627906,1
5894,16513,9978,4.186046511627906,1
5895,16557,1625,4.7368421052631575,1
5896,16558,2658,4.7368421052631575,1
5897,16552,758,4.695652173913043,1
5898,16546,2120,4.655172413793103,1
5899,16546,2125,4.655172413793103,1
5900,16546,2766,4.655172413793103,1
5901,16546,2824,4.655172413793103,1
5902,16546,2977,4.655172413793103,1
5903,16481,5552,7.199999999999999,1
5904,16481,6967,7.199999999999999,1
5905,16559,7225,8.4375,1
5906,16560,5897,8.181818181818182,1
5907,16553,16563,4.21875,384
5908,16553,16564,4.21875,7
5909,16554,5925,4.153846153846154,1
5910,16554,6427,4.153846153846154,1
5911,16554,7249,4.153846153846154,1
5912,16554,11093,4.153846153846154,1
5913,16554,6837,4.153846153846154,1
5914,16537,8341,4.32,1
5915,16529,8419,8.852459016393443,1
5916,16531,1955,6.0,1
5917,16547,16565,3.552631578947368,6881
5918,16547,16566,3.552631578947368,40
5919,16555,71,3.5294117647058822,1
5920,16556,8573,3.5294117647058822,1
5921,16544,2519,3.506493506493506,1
5922,16544,2654,3.506493506493506,1
5923,16544,5032,3.506493506493506,1
5924,16544,2985,3.506493506493506,1
5925,16544,4275,3.506493506493506,1
5926,16561,5177,3.506493506493506,1
5927,16562,12316,3.506493506493506,1
5928,16562,12377,3.506493506493506,1
5929,16525,6523,3.6486486486486487,1
5930,16525,7144,3.6486486486486487,1
5931,16549,14065,4.251968503937007,1
5932,16521,503,4.029850746268656,1
5933,16541,9612,4.864864864864865,1
5934,16495,7796,4.186046511627906,1
5935,16513,9813,4.186046511627906,1
5936,16557,1367,4.7368421052631575,1
5937,16557,1576,4.7368421052631575,1
5938,16558,2957,4.7368421052631575,1
5939,16552,762,4.695652173913043,1
5940,16481,6620,7.199999999999999,1
5941,16559,6311,8.4375,1
5942,16559,5941,8.4375,1
5943,16559,6754,8.4375,1
5944,16559,6169,8.4375,1
